"No.","Time","Source","Destination","Protocol","Length","Info"
"89","0.354796","1.4.1","host","USB","31","URB_INTERRUPT in"
"90","0.354814","host","1.4.1","USB","27","URB_INTERRUPT in"
"91","0.362751","1.4.1","host","USB","31","URB_INTERRUPT in"
"92","0.362833","host","1.4.1","USB","27","URB_INTERRUPT in"
"93","0.370768","1.4.1","host","USB","31","URB_INTERRUPT in"
"94","0.370785","host","1.4.1","USB","27","URB_INTERRUPT in"
"95","0.378802","1.4.1","host","USB","31","URB_INTERRUPT in"
"96","0.378827","host","1.4.1","USB","27","URB_INTERRUPT in"
"97","0.386707","1.4.1","host","USB","31","URB_INTERRUPT in"
"98","0.386744","host","1.4.1","USB","27","URB_INTERRUPT in"
"99","0.394808","1.4.1","host","USB","31","URB_INTERRUPT in"
"100","0.394836","host","1.4.1","USB","27","URB_INTERRUPT in"
"101","0.402801","1.4.1","host","USB","31","URB_INTERRUPT in"
"102","0.402821","host","1.4.1","USB","27","URB_INTERRUPT in"
"103","0.410797","1.4.1","host","USB","31","URB_INTERRUPT in"
"104","0.410821","host","1.4.1","USB","27","URB_INTERRUPT in"
"105","0.418801","1.4.1","host","USB","31","URB_INTERRUPT in"
"106","0.418819","host","1.4.1","USB","27","URB_INTERRUPT in"
"107","0.426805","1.4.1","host","USB","31","URB_INTERRUPT in"
"108","0.426827","host","1.4.1","USB","27","URB_INTERRUPT in"
"109","0.434804","1.4.1","host","USB","31","URB_INTERRUPT in"
"110","0.434821","host","1.4.1","USB","27","URB_INTERRUPT in"
"111","0.442804","1.4.1","host","USB","31","URB_INTERRUPT in"
"112","0.442831","host","1.4.1","USB","27","URB_INTERRUPT in"
"113","0.450802","1.4.1","host","USB","31","URB_INTERRUPT in"
"114","0.450821","host","1.4.1","USB","27","URB_INTERRUPT in"
"115","0.458803","1.4.1","host","USB","31","URB_INTERRUPT in"
"116","0.458825","host","1.4.1","USB","27","URB_INTERRUPT in"
"117","0.466704","1.4.1","host","USB","31","URB_INTERRUPT in"
"118","0.466726","host","1.4.1","USB","27","URB_INTERRUPT in"
"119","0.474799","1.4.1","host","USB","31","URB_INTERRUPT in"
"120","0.474858","host","1.4.1","USB","27","URB_INTERRUPT in"
"121","0.482732","1.4.1","host","USB","31","URB_INTERRUPT in"
"122","0.482757","host","1.4.1","USB","27","URB_INTERRUPT in"
"123","0.490803","1.4.1","host","USB","31","URB_INTERRUPT in"
"124","0.490824","host","1.4.1","USB","27","URB_INTERRUPT in"
"125","0.498803","1.4.1","host","USB","31","URB_INTERRUPT in"
"126","0.498822","host","1.4.1","USB","27","URB_INTERRUPT in"
"127","0.506748","1.4.1","host","USB","31","URB_INTERRUPT in"
"128","0.506765","host","1.4.1","USB","27","URB_INTERRUPT in"
"129","0.514807","1.4.1","host","USB","31","URB_INTERRUPT in"
"130","0.514832","host","1.4.1","USB","27","URB_INTERRUPT in"
"131","0.522805","1.4.1","host","USB","31","URB_INTERRUPT in"
